"(p,q,P,Q)",AIC
"(2, 3, 0, 0)",1755.785970039935
"(3, 3, 0, 0)",1757.055050642488
"(2, 3, 1, 0)",1759.0873229896076
"(3, 3, 0, 1)",1759.132832823455
"(3, 3, 1, 0)",1759.1792173182566
"(2, 3, 0, 1)",1759.614767287986
"(3, 3, 2, 2)",1760.2161121806025
"(3, 2, 0, 0)",1760.2489980618775
"(3, 3, 2, 0)",1760.532315606969
"(3, 3, 0, 2)",1760.5444892954297
"(2, 3, 1, 1)",1760.5670903794828
"(3, 3, 1, 1)",1760.716778730471
"(3, 3, 3, 2)",1760.9121838138594
"(1, 2, 2, 2)",1760.9507242454933
"(3, 3, 2, 3)",1760.9806752946654
"(2, 3, 0, 2)",1761.4827854903604
"(2, 1, 2, 2)",1761.6117738109733
"(3, 3, 3, 0)",1761.6738750388781
"(3, 3, 0, 3)",1761.7273572037584
"(3, 3, 3, 3)",1761.7300540556346
"(3, 3, 1, 2)",1761.8895270056173
"(3, 3, 2, 1)",1762.0206778464126
"(2, 3, 2, 0)",1762.3504687229306
"(1, 3, 2, 2)",1762.3881219816622
"(2, 3, 0, 3)",1762.520972641895
"(1, 2, 3, 2)",1762.7862420077745
"(2, 3, 3, 0)",1763.1457275924408
"(1, 2, 0, 0)",1763.2135540179393
"(1, 2, 2, 3)",1763.36474233489
"(2, 1, 3, 2)",1763.3787625048444
"(1, 2, 0, 1)",1763.5550611229287
"(1, 3, 0, 0)",1763.5571283922477
"(3, 1, 2, 2)",1763.597396248939
"(1, 2, 1, 0)",1763.6799612184639
"(3, 3, 1, 3)",1763.730171173197
"(3, 3, 3, 1)",1764.0087256406514
"(1, 1, 2, 2)",1764.0332581196315
"(2, 1, 0, 1)",1764.0580895038838
"(1, 3, 3, 2)",1764.0931100033288
"(2, 1, 2, 3)",1764.1324881617484
"(2, 1, 1, 0)",1764.2231822001427
"(1, 2, 3, 3)",1764.3081620826467
"(2, 1, 0, 0)",1764.330455042749
"(2, 3, 2, 2)",1764.5719320864675
"(3, 1, 2, 3)",1764.737546306566
"(1, 3, 2, 3)",1764.7383985682077
"(1, 3, 0, 1)",1764.8620661291793
"(1, 3, 1, 0)",1764.9134440426583
"(2, 3, 1, 3)",1764.9409352439027
"(2, 1, 3, 3)",1764.9680934812625
"(3, 1, 3, 2)",1765.2679264982025
"(1, 2, 2, 0)",1765.2725344378503
"(1, 3, 3, 3)",1765.3208925248607
"(2, 3, 3, 1)",1765.3862307797772
"(1, 2, 3, 0)",1765.4758177093468
"(1, 2, 0, 2)",1765.4977940395775
"(1, 2, 1, 1)",1765.546862037671
"(1, 2, 0, 3)",1765.5508753770546
"(3, 1, 0, 0)",1765.601680870997
"(3, 1, 0, 1)",1765.6186815473711
"(1, 1, 0, 1)",1765.6823872478762
"(2, 1, 2, 0)",1765.7389585801081
"(3, 1, 1, 0)",1765.7565139444148
"(2, 3, 1, 2)",1765.7866628345184
"(1, 1, 2, 3)",1765.8552037223035
"(1, 1, 3, 2)",1765.9272453201766
"(1, 1, 1, 0)",1765.9581601081386
"(2, 1, 0, 2)",1766.0029640877904
"(3, 0, 2, 3)",1766.0301754751579
"(2, 1, 3, 0)",1766.031121840127
"(2, 1, 1, 1)",1766.0463713391478
"(2, 3, 2, 3)",1766.1157514550928
"(2, 1, 0, 3)",1766.1189440514127
"(1, 2, 2, 1)",1766.1737106937708
"(2, 3, 2, 1)",1766.300122703134
"(1, 2, 1, 2)",1766.4194142474828
"(1, 3, 0, 3)",1766.5314141365752
"(1, 3, 3, 0)",1766.546463811269
"(2, 3, 3, 2)",1766.5818350231536
"(3, 1, 3, 3)",1766.6050697398914
"(2, 1, 2, 1)",1766.6490007177151
"(1, 3, 2, 0)",1766.6702404208095
"(3, 0, 2, 2)",1766.7709419767857
"(1, 3, 0, 2)",1766.8125866754422
"(1, 3, 1, 1)",1766.8575433259525
"(0, 2, 2, 3)",1766.9272239011916
"(2, 1, 1, 2)",1766.9344057819385
"(0, 0, 2, 3)",1767.0698871817247
"(3, 0, 0, 1)",1767.1625595970017
"(1, 1, 0, 0)",1767.182671318455
"(1, 1, 3, 3)",1767.1927830451446
"(2, 0, 2, 3)",1767.2351814122908
"(1, 2, 1, 3)",1767.272065678156
"(1, 1, 2, 0)",1767.2783714552374
"(3, 1, 2, 0)",1767.3196763248097
"(3, 1, 3, 0)",1767.465266231985
"(3, 0, 3, 2)",1767.4722807503158
"(1, 3, 2, 1)",1767.4858194273131
"(3, 0, 1, 0)",1767.5355331147925
"(1, 1, 3, 0)",1767.544960427128
"(3, 1, 0, 2)",1767.564934950153
"(3, 1, 0, 3)",1767.5847564118649
"(2, 0, 2, 2)",1767.588499975839
"(3, 1, 1, 1)",1767.6086039531867
"(1, 1, 0, 2)",1767.6424264213624
"(1, 1, 1, 1)",1767.673551116483
"(1, 3, 1, 2)",1767.7246960614336
"(0, 2, 2, 2)",1767.7662584039608
"(3, 2, 0, 1)",1767.781742818596
"(1, 1, 0, 3)",1767.789248027281
"(2, 1, 1, 3)",1767.8282393612396
"(0, 0, 2, 2)",1767.8441668279288
"(3, 2, 1, 0)",1767.9269242440666
"(2, 3, 3, 3)",1767.9622543348173
"(1, 2, 3, 1)",1768.0794117211603
"(3, 2, 2, 2)",1768.084816682136
"(0, 2, 3, 2)",1768.1110522009515
"(2, 0, 3, 2)",1768.1403913923841
"(0, 3, 2, 3)",1768.1422597208611
