Importe,añosPago,IngresoAnuales,RelacionIngresoDeuda,RelacionCuotaDeuda,PendienteEnTarjeta,UsoCreditoTarjeta,Objetivo,esPropietario,FueVeraz,TuvoEmbargo,Cuentas,PuntuacionGeneral,Default,AntiguedadLaboral
2000,3,37000,6.29,2.22551,9663,96.6,Deuda,Hipoteca,0,0,2,4.4,paid off,2
28625,5,64000,15.34,14.0769,20084,60.3,Deuda renovable,Hipoteca,0,0,18,3.8,paid off,3
10400,3,76000,15.11,5.71753,4808,40.1,Deuda,Alquiler,0,1,8,4.4,paid off,7
33425,5,75000,20.85,14.0858,25807,60.7,Deuda,Hipoteca,0,1,14,4.0,paid off,11
15000,5,55000,7.66,9.43025,8452,49.4,Deuda,Alquiler,1,1,10,1.4,default,4
20000,3,140000,10.18,5.36409,21422,37.3,Deuda renovable,Alquiler,0,0,5,6.8,paid off,5
19200,3,191887,3.78,3.93894,32027,67.9,Deuda,Hipoteca,0,0,9,5.4,paid off,11
25000,3,84500,12.72,12.7943,24153,84.6,Deuda renovable,Alquiler,0,0,8,3.2,paid off,8
16750,5,37300,14.93,15.0277,13843,69.9,Deuda,Hipoteca,0,0,10,3.0,default,11
6950,5,110000,5.43,2.26964,1614,22.4,Mudanza,Alquiler,1,0,6,0.8,default,10
16000,5,72000,24.72,6.90583,13275,92.8,Deuda,Alquiler,0,0,10,3.8,default,8
1000,3,95000,3.01,0.433768,4065,33.9,Deuda renovable,Alquiler,1,0,6,4.2,paid off,2
13500,3,60000,17.34,8.9834,14487,44.0,Deuda renovable,Alquiler,1,0,6,5.6,default,5
16000,3,35000,20.33,17.4192,14896,25.6,Deuda,Propio,0,0,23,7.0,paid off,0
6000,3,83000,6.38,3.04814,6309,60.7,Deuda,Hipoteca,1,0,7,5.0,paid off,7
33000,5,182000,17.31,6.26954,24045,71.8,Deuda,Hipoteca,0,0,14,1.4,default,8
12500,5,46000,26.72,8.20461,9785,75.3,Deuda,Alquiler,0,0,11,3.8,default,4
6400,3,47000,15.65,5.50519,5279,74.4,Deuda,Hipoteca,0,0,15,5.8,paid off,9
30000,3,500000,1.15,2.34528,31746,39.9,Deuda renovable,Hipoteca,0,0,8,5.4,paid off,11
15000,3,59000,24.75,9.54631,24050,43.2,Deuda,Hipoteca,0,0,15,6.8,paid off,8
13000,5,53600,20.51,4.96366,14633,89.5,Deuda,Hipoteca,0,0,13,1.2,default,3
5200,3,45000,22.24,4.67173,10057,67.0,Deuda,Hipoteca,0,1,10,4.2,paid off,11
14400,3,48500,6.58,12.7507,4529,49.8,Deuda,Alquiler,0,1,9,5.0,default,7
18550,3,115000,10.53,6.05677,35168,48.5,Deuda,Hipoteca,0,0,12,6.8,paid off,1
13650,3,85000,9.33,6.00508,5519,64.9,Deuda,Hipoteca,0,0,5,6.6,default,11
6400,3,72000,10.95,3.4045,25060,76.9,Deuda,Hipoteca,0,0,8,7.0,paid off,11
9750,3,152400,14.43,2.56795,89835,1.8,Deuda,Hipoteca,1,0,7,5.8,default,11
5075,3,25000,6.0,8.20704,2637,39.4,Deuda,Hipoteca,0,1,6,5.8,default,1
10000,3,30000,26.45,14.612,10662,91.8,Deuda renovable,Propio,0,0,6,3.6,paid off,4
20000,3,56040,3.0,14.7728,2716,39.9,Evento,Alquiler,1,0,4,4.4,default,11
6000,3,55000,15.81,4.05033,1204,9.4,Hipoteca,Alquiler,0,0,15,6.6,paid off,7
9000,3,73000,16.42,5.412,3138,16.6,No declara,Hipoteca,1,1,7,3.6,paid off,0
9000,3,53000,7.14,7.34355,8419,40.7,No declara,Alquiler,0,0,9,3.2,default,4
28000,5,100000,23.56,8.62212,20808,60.0,Deuda,Hipoteca,0,0,14,3.4,paid off,2
15000,3,49898,25.4,12.4293,11937,52.8,Deuda,Hipoteca,0,0,14,2.6,default,11
15000,3,75000,25.46,8.08544,12181,93.7,Deuda renovable,Hipoteca,0,0,8,6.0,default,11
35000,5,102250,9.12,11.226,12862,78.0,Deuda,Hipoteca,0,0,10,2.6,default,11
12000,3,70000,19.27,7.06389,11707,26.1,Deuda,Hipoteca,0,1,15,4.2,paid off,9
21000,5,72200,5.58,7.96122,0,0.0,Hipoteca,Hipoteca,0,0,4,5.8,default,4
15000,3,45000,4.93,12.9371,6732,28.8,Deuda,Alquiler,0,0,4,5.2,paid off,2
4600,3,31000,19.11,6.14865,5816,48.5,Deuda,Alquiler,0,0,9,5.0,default,1
10000,3,35000,26.91,10.8216,3610,58.2,Deuda,Alquiler,0,0,4,7.0,paid off,11
4750,5,27600,22.65,4.93609,8934,69.3,Inversion,Hipoteca,1,1,8,3.4,paid off,1
6075,3,60000,16.04,4.3664,10682,61.7,No declara,Hipoteca,1,0,8,3.4,paid off,11
6000,3,65600,20.62,3.88317,11975,99.0,Deuda,Hipoteca,0,1,17,2.2,default,6
20000,3,58000,8.3,13.9634,18339,84.2,Deuda,Alquiler,0,0,4,4.4,paid off,1
15000,3,44500,26.75,12.5844,18681,57.5,Deuda,Propio,0,0,14,6.6,paid off,4
12000,3,44160,14.4,11.025,768,64.0,Evento,Alquiler,0,0,4,3.6,paid off,8
8000,3,48000,1.25,6.08725,1299,2.6,Inversion,Hipoteca,0,0,10,6.2,paid off,11
22000,5,55000,25.62,12.7091,27389,59.4,Deuda,Hipoteca,0,0,11,4.0,default,11
10000,3,60000,19.34,6.2582,10208,42.9,Deuda,Hipoteca,0,0,14,6.8,default,3
10375,3,45000,29.49,9.6328,12212,60.2,Evento,Alquiler,0,0,16,4.4,default,6
7125,3,28000,11.5,10.7794,4737,66.3,No declara,Alquiler,0,0,8,4.8,default,6
2000,3,19200,2.06,3.8025,2197,24.1,No declara,Alquiler,0,0,5,6.4,default,2
33575,5,70000,1.06,15.0005,9672,35.4,Negocio,Hipoteca,0,0,7,3.8,paid off,1
