Importe,añosPago,IngresoAnuales,RelacionIngresoDeuda,RelacionCuotaDeuda,PendienteEnTarjeta,UsoCreditoTarjeta,Objetivo,esPropietario,FueVeraz,TuvoEmbargo,Cuentas,PuntuacionGeneral,Default,AntiguedadLaboral
17500,5,40000,31.25,14.3484,18629,60.9,Deuda,Alquiler,0,0,10,2.6,default,6
25000,5,124000,22.27,5.21816,28541,39.5,Deuda,Hipoteca,0,0,9,5.4,paid off,11
8875,3,45500,18.41,8.0102,10396,52.8,Deuda renovable,Propio,0,1,11,6.0,default,9
30000,3,80000,26.65,14.289,10472,54.6,Deuda,Alquiler,0,0,7,7.0,default,1
10000,3,120000,23.15,3.2616,43002,95.3,Negocio,Hipoteca,0,0,7,5.8,paid off,7
4325,3,23533,4.64,6.87273,3772,22.9,Deuda,Alquiler,0,0,8,6.6,paid off,7
10600,3,67160,11.96,5.7645,6203,30.7,Negocio,Hipoteca,0,0,10,6.2,default,8
7000,5,49000,2.35,4.36922,2950,81.9,Deuda,Alquiler,0,0,3,1.4,default,2
6500,3,30000,18.92,8.6508,6557,52.9,Deuda,Alquiler,0,0,9,5.6,default,6
10375,3,29843,25.25,12.8094,6669,37.0,Deuda,Alquiler,0,0,15,6.4,default,7
19200,5,116000,26.58,4.45345,29703,54.7,Deuda renovable,Hipoteca,0,0,11,5.8,default,8
19425,3,49599,19.16,17.8247,18751,91.0,Deuda,Alquiler,0,0,10,2.6,paid off,10
21000,5,125000,5.82,4.39738,25385,60.2,Deuda,Hipoteca,0,0,7,5.4,paid off,3
8000,3,28329,8.6,11.2752,7481,74.5,Mudanza,Alquiler,0,0,7,5.6,default,6
35000,3,85000,32.29,17.9853,6647,60.3,Deuda,Hipoteca,1,0,15,3.4,paid off,9
10000,3,65000,17.9,6.05649,37128,51.3,Deuda,Propio,1,0,19,5.4,default,7
18000,3,80000,12.23,8.73255,3745,31.7,Deuda,Hipoteca,1,0,9,5.2,paid off,11
15900,5,60000,27.4,7.6994,31994,90.1,Deuda,Hipoteca,0,0,9,4.6,paid off,11
7000,3,60000,19.44,4.9214,10183,94.0,Deuda,Alquiler,0,0,5,3.4,paid off,1
22000,5,100000,32.87,6.39204,33186,74.6,Deuda,Hipoteca,0,0,17,4.6,default,8
12125,3,38000,28.42,13.3317,14856,58.5,Deuda,Alquiler,0,0,14,4.4,default,11
11100,3,32000,26.36,14.6096,14274,69.6,Deuda renovable,Alquiler,0,0,8,4.8,default,6
10000,3,50000,22.22,8.25192,5558,23.9,Deuda,Alquiler,0,1,8,3.4,default,9
14350,3,34200,16.35,17.7744,17116,49.2,Deuda renovable,Alquiler,0,1,16,3.4,paid off,7
1000,3,35000,4.48,1.24389,4430,15.0,No declara,Alquiler,0,0,13,3.4,paid off,11
