FECHA,AGRO,ALUA,BBAR,BMA,BYMA,GGAL,SUPV,PAMP,YPFD,VALO,CEPU,TRAN,TXAR,LOMA,HARG,COME,CRES,TGNO4,TGSU2,EDN,CVH,MIRG,TECO2,AUSO,BHIP,BOLT,BPAT,CADO,CAPX,CARC,CECO2,CELU,CGPA2,CTIO,DGCU2,DOME,DYCA,ESME,FERR,FIPL,GAMI,GARO,GBAN,GCLA,GRIM,HAVA,INTR,INVJ,IRSA,LEDE,LONG,METR,MOLA,MOLI,MORI,MTR,OEST,PATA,PGR,POLL,RICH,ROSE,SAMI,SEMI,TGLT,AMZN,AAPL,BABA,C,DISN,FB,GLNT,GOLD,GOOGL,INTC,KO,MCD,MELI,MSFT,NFLX,PBR,TSLA
6/03/2024,"48,65","740,50","2.390,65","4.112,75","208,00","2.320,55","928,60","1.715,60","18.978,75","248,50","814,30","952,00","716,50","1.386,25","0,00","98,20","820,30","1.605,00","2.591,85","832,75","3.749,00","10.957,00","1.428,70","2.212,50","203,25","49,60","716,00","463,00","4.800,00","0,00","346,00","593,50","1.673,00","1.509,50","965,50","0,00","640,50","0,00","86,20","268,50","0,00","154,50","1.011,00","1.618,00","1.050,00","6.708,00","227,00","411,00","796,25","713,50","46,20","716,50","17.699,00","3.083,50","130,00","0,00","913,50","899,00","0,00","512,50","0,00","91,10","814,00","97,70","0,00","1.234,00","8.654,50","8.399,50","19.482,00","9.355,00","0,00","0,00","0,00","2.319,50","9.059,50","12.178,00","12.454,00","12.874,00","13.673,50","12.738,00","0,00","12.119,00"
5/03/2024,"47,45","760,00","2.229,45","3.981,10","202,80","2.226,95","880,85","1.708,55","19.009,00","253,50","831,05","1.007,00","729,00","1.420,35","0,00","98,40","809,70","1.653,50","2.678,75","882,20","3.844,50","10.895,00","1.468,25","2.198,00","196,25","52,80","718,00","463,00","4.735,50","0,00","345,00","610,00","1.750,00","1.593,00","986,50","0,00","0,00","0,00","86,70","266,50","0,00","155,00","986,00","1.638,00","1.092,00","6.575,00","247,00","417,50","816,00","755,50","47,15","758,50","18.680,50","3.246,50","132,50","0,00","920,00","912,50","0,00","0,00","0,00","0,00","832,00","101,50","0,00","1.257,00","8.893,00","8.376,00","19.686,00","9.814,50","0,00","0,00","0,00","2.381,00","8.934,00","12.406,50","12.685,50","13.163,00","13.939,50","12.882,00","0,00","12.517,50"
4/03/2024,"51,40","806,00","2.319,60","4.223,00","217,80","2.346,65","930,20","1.785,15","19.869,75","264,50","859,05","1.097,50","787,50","1.517,30","0,00","105,00","827,30","1.773,00","2.882,30","917,85","4.053,00","11.506,00","1.565,60","2.376,50","216,00","57,50","777,50","484,50","4.993,00","0,00","367,50","637,00","1.900,00","1.726,50","1.068,50","85,90","678,50","0,00","92,50","288,00","0,00","0,00","1.050,50","1.678,50","918,00","7.829,00","235,25","476,50","828,25","783,50","49,55","807,50","19.273,00","3.561,00","151,25","0,00","993,00","950,00","0,00","569,00","0,00","98,60","892,00","106,00","0,00","1.316,50","9.345,00","8.532,50","20.032,00","10.097,00","0,00","0,00","0,00","2.453,00","9.907,00","12.754,00","12.911,00","13.880,50","14.724,50","13.753,50","0,00","13.374,00"
3/03/2024,"51,40","806,00","2.319,60","4.223,00","1.089,00","2.346,65","930,20","1.785,15","19.869,75","264,50","859,05","1.097,50","787,50","1.517,30","1.096,00","105,00","827,30","1.773,00","2.882,30","917,85","4.053,00","11.506,00","1.565,60","2.376,50","216,00","57,50","777,50","484,50","4.993,00","33,15","367,50","637,00","1.900,00","1.726,50","1.068,50","85,90","678,50","0,00","92,50","288,00","0,00","0,00","1.050,50","1.678,50","918,00","7.829,00","235,25","476,50","828,25","783,50","49,55","807,50","19.273,00","3.561,00","151,25","0,00","993,00","950,00","0,00","569,00","824,00","98,60","892,00","106,00","0,00","1.316,50","9.345,00","8.532,50","20.032,00","10.097,00","0,00","0,00","8.233,00","2.453,00","9.907,00","12.754,00","12.911,00","13.880,50","14.724,50","13.753,50","17.645,00","13.374,00"
2/03/2024,"51,40","806,00","2.319,60","4.223,00","1.089,00","2.346,65","930,20","1.785,15","19.869,75","264,50","859,05","1.097,50","787,50","1.517,30","1.096,00","105,00","827,30","1.773,00","2.882,30","917,85","4.053,00","11.506,00","1.565,60","2.376,50","216,00","57,50","777,50","484,50","4.993,00","33,15","367,50","637,00","1.900,00","1.726,50","1.068,50","85,90","678,50","0,00","92,50","288,00","0,00","0,00","1.050,50","1.678,50","918,00","7.829,00","235,25","476,50","828,25","783,50","49,55","807,50","19.273,00","3.561,00","151,25","0,00","993,00","950,00","0,00","569,00","824,00","98,60","892,00","106,00","0,00","1.316,50","9.345,00","8.532,50","20.032,00","10.097,00","0,00","0,00","8.233,00","2.453,00","9.907,00","12.754,00","12.911,00","13.880,50","14.724,50","13.753,50","17.645,00","13.374,00"
1/03/2024,"47,40","842,50","2.300,05","4.210,65","1.040,00","2.380,30","939,15","1.862,90","19.346,35","255,50","874,80","1.133,00","812,50","1.497,05","1.103,50","105,90","850,75","1.712,50","2.900,70","952,15","4.010,00","11.334,50","1.587,25","2.371,50","206,25","57,50","739,50","504,00","4.981,00","34,90","362,50","660,00","1.974,50","1.700,00","1.030,00","85,90","675,50","0,00","92,70","292,00","0,00","0,00","995,00","1.665,50","927,50","7.096,50","241,25","464,00","841,25","800,50","50,30","778,00","19.330,00","3.425,50","140,25","0,00","970,00","911,00","0,00","594,00","802,50","107,00","918,00","100,75","0,00","1.352,50","9.788,50","9.026,00","20.077,50","10.137,00","0,00","0,00","8.112,50","2.595,00","9.612,50","12.967,00","13.138,50","14.574,50","15.072,00","14.000,00","18.189,00","14.698,00"
29/02/2024,"45,45","776,50","2.231,90","4.240,25","965,50","2.358,45","943,45","1.769,20","18.310,50","241,50","850,40","1.091,50","755,50","1.422,70","1.065,50","101,25","825,25","1.584,50","2.779,95","907,55","3.914,00","11.196,00","1.564,45","2.329,00","204,75","54,60","746,00","491,00","4.781,00","30,75","350,00","622,50","1.689,50","1.650,00","953,00","0,00","662,00","0,00","93,30","284,50","0,00","169,00","935,50","1.653,50","922,00","5.987,00","240,50","413,50","819,95","766,50","49,90","726,50","18.828,50","3.313,50","133,25","0,00","926,50","875,00","0,00","690,00","826,50","111,25","880,00","101,00","0,00","1.303,00","9.654,00","8.795,50","19.733,50","9.921,50","0,00","0,00","7.899,50","2.540,00","9.174,50","12.856,50","12.989,50","14.316,00","14.646,00","13.307,50","17.536,50","14.335,00"
28/02/2024,"43,40","752,00","2.203,00","3.979,95","960,50","2.318,80","872,60","1.771,60","18.258,40","231,75","847,90","1.111,00","745,50","1.350,20","1.084,00","99,15","834,80","1.606,50","2.787,50","906,70","3.863,00","11.183,00","1.533,95","2.265,00","196,00","55,40","713,50","458,50","4.738,00","28,70","342,00","602,50","1.675,50","1.549,00","913,50","88,90","695,00","0,00","89,90","288,50","0,00","166,00","876,50","1.687,00","0,00","5.839,50","245,75","392,50","832,35","770,00","49,35","710,00","18.251,00","3.213,50","120,25","0,00","921,00","864,00","0,00","745,00","799,00","108,50","877,00","90,30","0,00","1.284,50","9.687,00","8.901,50","19.664,00","9.851,50","0,00","0,00","7.664,00","2.510,00","8.986,50","12.887,00","13.180,50","14.193,00","14.510,00","13.272,50","17.952,50","14.462,00"
27/02/2024,"47,25","825,00","2.215,20","3.959,55","989,50","2.368,85","916,15","1.833,95","18.995,45","241,00","874,40","1.198,00","795,00","1.397,50","1.138,00","102,50","877,20","1.634,00","2.856,80","928,80","4.078,00","11.487,00","1.614,40","2.347,50","205,25","59,20","739,50","484,00","5.067,50","30,95","351,50","636,00","1.822,00","1.589,00","949,50","88,90","0,00","0,00","93,40","307,50","0,00","174,25","946,00","1.580,00","970,00","6.608,50","255,00","397,00","885,35","778,50","51,30","733,50","19.367,50","3.496,00","128,75","0,00","957,00","939,00","0,00","744,00","821,00","109,50","931,50","96,50","0,00","1.315,50","9.978,50","9.425,00","20.130,00","9.905,00","0,00","0,00","7.967,00","2.615,00","9.318,00","13.121,00","13.346,50","14.697,00","14.766,00","13.697,00","19.346,50","14.569,00"
26/02/2024,"50,90","895,00","2.288,15","4.037,00","999,00","2.475,95","952,65","1.904,85","19.631,40","245,25","899,35","1.264,50","865,00","1.427,25","1.174,50","107,90","905,95","1.749,50","3.029,10","998,20","4.355,00","12.240,50","1.706,25","2.544,50","217,50","61,70","771,00","523,50","5.292,50","32,20","371,50","657,50","1.869,00","1.609,00","1.030,50","89,00","695,00","0,00","98,00","325,00","0,00","180,25","986,50","1.624,00","970,00","7.417,50","264,00","439,50","928,05","810,00","51,90","791,50","20.797,00","3.919,50","140,75","0,00","1.022,00","979,00","0,00","699,00","875,00","113,00","983,50","102,50","0,00","1.330,50","9.967,50","9.320,00","20.333,50","9.862,00","0,00","0,00","8.017,00","2.618,00","9.451,00","13.335,00","13.590,00","14.874,50","14.973,50","13.463,00","19.414,50","14.606,00"
