Unnamed: 0,status,loan_amnt,term,annual_inc,dti,payment_inc_ratio,revol_bal,revol_util,purpose,home_ownership,delinq_2yrs_zero,pub_rec_zero,open_acc,grade,outcome,emp_length,purpose_,home_,emp_len_,borrower_score
34805,Fully Paid,9800,36 months,53000,8.97,6.90294,5241,27.0,major_purchase,OWN,1,1,7,6.8,paid off,4,major_purchase,OWN, > 1 Year,0.6
43327,Fully Paid,7475,36 months,43000,14.4,7.63842,10612,65.5,debt_consolidation,RENT,1,0,12,3.8,paid off,0,debt_consolidation,RENT, < 1 Year,0.5
39953,Fully Paid,30000,36 months,275000,3.8,4.1568,1742,0.0,home_improvement,MORTGAGE,1,1,7,7.0,paid off,2,home_improvement,MORTGAGE, > 1 Year,0.8
16120,Charged Off,11500,36 months,35000,30.17,13.5391,10332,80.7,debt_consolidation,RENT,1,1,7,4.2,default,5,debt_consolidation,RENT, > 1 Year,0.35
37566,Fully Paid,14000,36 months,66996,15.53,8.43023,26208,78.5,credit_card,RENT,1,1,11,4.4,paid off,1,credit_card,RENT, > 1 Year,0.6
10337,Charged Off,16000,60 months,53000,25.33,9.05592,20599,85.1,debt_consolidation,MORTGAGE,1,1,16,5.0,default,4,debt_consolidation,MORTGAGE, > 1 Year,0.4
6872,Charged Off,24000,60 months,54842,15.05,12.8264,15710,20.1,credit_card,MORTGAGE,1,1,16,4.8,default,0,credit_card,MORTGAGE, < 1 Year,0.35
42934,Fully Paid,13200,36 months,28000,5.91,17.2539,8025,14.4,debt_consolidation,RENT,1,1,5,6.6,paid off,10,debt_consolidation,RENT, > 1 Year,0.75
26188,Fully Paid,35000,60 months,95000,6.85,10.8903,9050,29.1,debt_consolidation,RENT,1,1,8,3.2,paid off,7,debt_consolidation,RENT, > 1 Year,0.6
29316,Fully Paid,5000,36 months,54860,10.02,3.74721,4728,80.1,debt_consolidation,RENT,1,1,6,5.0,paid off,1,debt_consolidation,RENT, > 1 Year,0.25
11954,Charged Off,35000,60 months,146000,20.28,8.21408,52619,83.3,debt_consolidation,MORTGAGE,0,1,12,1.6,default,11,debt_consolidation,MORTGAGE, > 1 Year,0.7
9282,Charged Off,10150,36 months,70000,12.58,5.66709,28177,61.8,credit_card,MORTGAGE,1,1,10,5.4,default,5,credit_card,MORTGAGE, > 1 Year,0.6
11675,Charged Off,24500,36 months,90000,19.68,10.3728,27558,54.5,debt_consolidation,MORTGAGE,1,1,21,7.0,default,11,debt_consolidation,MORTGAGE, > 1 Year,0.2
12323,Charged Off,30000,60 months,110000,17.55,8.00924,59682,47.7,debt_consolidation,MORTGAGE,1,1,30,4.8,default,11,debt_consolidation,MORTGAGE, > 1 Year,0.75
19988,Charged Off,10575,36 months,90000,16.17,5.1152,9401,95.9,debt_consolidation,MORTGAGE,1,0,13,3.6,default,11,debt_consolidation,MORTGAGE, > 1 Year,0.45
21534,Charged Off,19200,36 months,55000,17.41,13.9119,10767,39.7,credit_card,RENT,1,1,10,5.6,default,1,credit_card,RENT, > 1 Year,0.55
35866,Fully Paid,15000,60 months,101741,23.49,4.44375,44735,95.2,major_purchase,MORTGAGE,1,1,12,4.0,paid off,2,major_purchase,MORTGAGE, > 1 Year,0.65
3701,Charged Off,4800,36 months,63996,10.5,3.14588,0,0.0,other,RENT,1,1,4,3.6,default,5,other,RENT, > 1 Year,0.45
38938,Fully Paid,12000,36 months,42000,16.14,11.5011,7352,53.3,debt_consolidation,MORTGAGE,1,1,13,6.0,paid off,11,debt_consolidation,MORTGAGE, > 1 Year,0.6
25656,Fully Paid,3500,36 months,19200,7.25,6.98875,4160,40.8,small_business,RENT,1,1,8,6.8,paid off,1,small_business,RENT, > 1 Year,0.6
36527,Fully Paid,24000,36 months,69500,10.29,13.7874,25922,53.1,debt_consolidation,MORTGAGE,1,1,9,5.6,paid off,5,debt_consolidation,MORTGAGE, > 1 Year,0.45
